City,Latitude,Longitude
Bắc Giang,21.27793130040831,106.1938814
Bắc Kạn,22.14949150040648,105.837248
Bạc Liêu,9.282488199409196,105.7260685
Bắc Ninh,21.18412420040722,106.07187949999998
Bảo Lộc,11.550694099541268,107.80925109999998
Ba Ria,10.496269599465236,107.1688433
Bavet,11.069127199503637,106.1436226
Ben Tre,10.244821399450714,106.3734823
Bien Hoa,10.956945399495552,106.8536492
Buôn Ma Thuột,12.679682699645998,108.04473679999998
Ca Mau,9.179221499406111,105.14579089999998
Cẩm Phả,21.00443200040443,107.278029
Cam Ranh,11.916669599572856,109.14861
Can Tho,10.04518589944024,105.7448944
Cao Bằng,22.666662100395214,106.2588039
Cao Lanh,10.462032199463172,105.6357948
Chau Doc,10.710181499478727,105.1188675
Chí Linh,21.107420900406144,106.38732039999998
Cho Lon,10.751491799481451,106.66047319999998
Dalat,11.940241599574977,108.4375758
Đà Nẵng,16.068000000032306,108.212
Dien Bien Phu,21.387489300409268,103.0185
Dong Ha,16.81728450011589,107.1010378
Đồng Hới,17.469504900183555,106.6177781
Đồng Xoài,11.538958299540296,106.9047378
Đức Trọng,11.712000399554888,108.3538203
Gia Nghĩa,12.000598599580435,107.69602589999998
Ha Giang,22.82645920039022,104.9846342
Hải Dương,20.943087800403276,106.3225388
Haiphong,20.858864000401518,106.6749591
Ha Long,20.952836500403468,107.0800003
Hanoi,21.02944980040488,105.85444409999998
Hà Tiên,10.382801899458505,104.4859503
Hà Tĩnh,18.345274500264004,105.9019482
Hòa Bình,20.81300140040047,105.3452974
Ho Chi Minh City,10.775843899483071,106.7017555
Hoi An,15.879813700010615,108.3273939
Hong Ngu,10.808386699485265,105.3417921
Hue,16.463801300077098,107.58219110000002
Hưng Yên,20.649098300396258,106.0509951
Kon Tum,14.361525599832076,108.0039102
Lai Chau,22.39966120040197,103.4516882
Lạng Sơn,21.852875900409536,106.7597458
Lào Cai,22.499745200399666,103.9656924
Long Khanh,10.9335278994939,107.2416829
Long Xuyen,10.390543699458952,105.4337523
Mong Cai,21.52902790041,107.9691594
Mường Lay,22.0484698004078,103.1590651
My Tho,10.36061969945722,106.3658439
Nam Định,20.42326410038925,106.1688515
Ngã Bảy,9.815833099429398,105.819098
Nha Trang,12.243169299603023,109.1898675
Ninh Bình,20.254542100383105,105.9764854
Phan Rang - Tháp Chàm,11.576982899543452,108.9865391
Phan Thiet,10.931024999493726,108.1014632
Phúc Yên,21.233270500407823,105.7035505
Phủ Lý,20.5447207003932,105.91551699999998
Phu Quoc,10.215309299449109,103.98804429999998
Pleiku,13.97159819978686,108.0143597
Quảng Ngãi,15.119003699921358,108.8095598
Quy Nhơn,13.770408999763893,109.232667
Rạch Giá,10.010710399438532,105.0832623
Sadec,10.29437159945346,105.7588147
Saigon,10.771551199482786,106.6983801
Sam Son,19.737308100359588,105.8933004
Sóc Trăng,9.602672399420468,105.9733211
Sơn La,21.327404800408782,103.91517009999998
Tam Kỳ City,15.56737349997419,108.48421279999998
Tan An,10.535965399467662,106.4047541
Tây Ninh,11.313828599522177,106.0964769
Thái Bình,20.449288000390126,106.34248929999998
Thai Nguyen,21.592477000410145,105.8435398
Thanh Hóa,19.81171900036339,105.77456979999998
Thu Dau Mot City,10.980843499497253,106.6537483
Thu Duc,10.82982949948672,106.76178989999998
Tra Vinh,9.9355828994349,106.3397849
Từ Sơn,21.11330900040623,105.9568611
Tuyen Quang,21.787969500409865,105.217387
Tuy Hòa,13.087722599688552,109.2993584
Uông Bí,21.04146920040509,106.7740261
Viet Tri,21.32422900040876,105.3881392
Vinh,18.669244500290105,105.6881594
Vinh Long,10.25442809945124,105.96696649999998
Vĩnh Yên,21.30884790040861,105.5916322
Vi Thanh,9.783223099427955,105.4670349
Vung Tau,10.348648499456534,107.0765028
Yên Bái,21.69611000041013,104.8752392
