province,Latitude,Longitude,region
Bac Lieu,9.3298341,105.509946,Dong Bang Song Cuu Long
Ho Chi Minh City,10.7763897,106.7011391,Dong Nam Bo
Tam Ky,15.5638139,108.4821856,Bac Trung Bo va Duyen Hai Mien Trung
Ben Tre,10.1093637,106.4811559,Dong Bang Song Cuu Long
Hoa Binh,20.6763365,105.3759952,Trung du va Mien Nui Phia Bac
Tan An,10.5364717,106.4099039,Dong Bang Song Cuu Long
Bien Hoa,10.9509538,106.8226134,Dong Nam Bo
Hong Gai,20.9506793,107.0747169,Trung du va Mien Nui Phia Bac
Thai Nguyen,21.6498502,105.8351394,Trung du va Mien Nui Phia Bac
Buon Me Thuot,12.6796827,108.0447368,Tay Nguyen
Hue,16.4639321,107.5863388,Bac Trung Bo va Duyen Hai Mien Trung
Thanh Hoa,19.8076814,105.7767437,Bac Trung Bo va Duyen Hai Mien Trung
Ca Mau,9.0180177,105.0869724,Dong Bang Song Cuu Long
Long Xuyen,10.3905437,105.4337523,Dong Bang Song Cuu Long
Tra Vinh,9.8037998,106.3256808,Dong Bang Song Cuu Long
Cam Pha,21.004432,107.278029,Trung du va Mien Nui Phia Bac
My Tho,10.3606197,106.3658439,Dong Bang Song Cuu Long
Tuy Hoa,13.0877226,109.2993584,Bac Trung Bo va Duyen Hai Mien Trung
Cam Ranh,11.9166696,109.14861,Bac Trung Bo va Duyen Hai Mien Trung
Nam Dinh,20.2686476,106.2289075,Dong Bang Song Hong
Uong Bi,21.0414692,106.7740261,Trung du va Mien Nui Phia Bac
Can Tho,10.0364634,105.7875821,Dong Bang Song Cuu Long
Nha Trang,12.2431693,109.1898675,Bac Trung Bo va Duyen Hai Mien Trung
Viet Tri,21.3136067,105.3946301,Trung du va Mien Nui Phia Bac
Chau Doc,10.7101815,105.1188675,Dong Bang Song Cuu Long
Phan Rang,11.5769829,108.9865391,Bac Trung Bo va Duyen Hai Mien Trung
Vinh,18.6698528,105.6840371,Bac Trung Bo va Duyen Hai Mien Trung
Da Lat,11.9491214,108.4321417,Tay Nguyen
Phan Thiet,10.9311514,108.1015919,Dong Nam Bo
Vinh Long,10.1203043,106.0125705,Dong Bang Song Cuu Long
Ha Noi,21.0283334,105.854041,Dong Bang Song Hong
Vung Tau,10.3486485,107.0765028,Dong Nam Bo
Hai Duong,20.8930571,106.3725441,Dong Bang Song Hong
Qui Nhon,13.7696121,109.2313768,Bac Trung Bo va Duyen Hai Mien Trung
Yen Bai,21.8268679,104.663122,Trung du va Mien Nui Phia Bac
Hai Phong,20.858864,106.6749591,Dong Bang Song Hong
Rach Gia,10.0107104,105.0832623,Dong Bang Song Cuu Long
Soc Trang,9.5628369,105.9493991,Dong Bang Song Cuu Long
Play Cu,13.9833,108,Tay Nguyen
